Index,	Free Memory (kB),	Load Avg (1 min),	Load Avg (5 min),	Load Avg (15 min),	Running Processes,	Total Processes,	Time,	Computer Name
64,	434064,	0.19,	0.20,	0.19,	1,	214,	2-13-2018 12:25:15,	raspberrypi
65,	433956,	0.22,	0.21,	0.19,	2,	214,	2-13-2018 12:26:15,	raspberrypi
66,	433948,	0.18,	0.20,	0.18,	1,	214,	2-13-2018 12:27:15,	raspberrypi
67,	433824,	0.21,	0.21,	0.18,	2,	214,	2-13-2018 12:28:15,	raspberrypi
68,	433840,	0.24,	0.21,	0.18,	2,	212,	2-13-2018 12:29:15,	raspberrypi
69,	433848,	0.19,	0.20,	0.18,	1,	211,	2-13-2018 12:30:15,	raspberrypi
70,	433716,	0.22,	0.21,	0.18,	1,	212,	2-13-2018 12:31:15,	raspberrypi
71,	433840,	0.25,	0.22,	0.19,	1,	212,	2-13-2018 12:32:15,	raspberrypi
72,	433344,	0.20,	0.20,	0.18,	1,	212,	2-13-2018 12:33:15,	raspberrypi
73,	433344,	0.23,	0.21,	0.18,	1,	212,	2-13-2018 12:34:15,	raspberrypi
74,	433088,	0.19,	0.20,	0.18,	1,	213,	2-13-2018 12:35:15,	raspberrypi
75,	433220,	0.21,	0.21,	0.18,	1,	212,	2-13-2018 12:36:15,	raspberrypi
76,	433220,	0.17,	0.20,	0.18,	1,	212,	2-13-2018 12:37:15,	raspberrypi
77,	433344,	0.20,	0.20,	0.18,	1,	212,	2-13-2018 12:38:15,	raspberrypi
78,	433096,	0.24,	0.21,	0.18,	1,	212,	2-13-2018 12:39:15,	raspberrypi
79,	432980,	0.18,	0.20,	0.18,	1,	211,	2-13-2018 12:40:15,	raspberrypi
80,	433096,	0.27,	0.22,	0.19,	1,	212,	2-13-2018 12:41:15,	raspberrypi
81,	433096,	0.27,	0.23,	0.19,	1,	212,	2-13-2018 12:42:15,	raspberrypi
82,	433080,	0.20,	0.22,	0.18,	2,	212,	2-13-2018 12:43:15,	raspberrypi
83,	432972,	0.22,	0.22,	0.18,	1,	212,	2-13-2018 12:44:15,	raspberrypi
84,	433088,	0.17,	0.21,	0.18,	1,	212,	2-13-2018 12:45:15,	raspberrypi
85,	433220,	0.20,	0.21,	0.18,	2,	211,	2-13-2018 12:46:15,	raspberrypi
86,	433220,	0.23,	0.22,	0.18,	1,	211,	2-13-2018 12:47:15,	raspberrypi
87,	433336,	0.18,	0.21,	0.18,	2,	212,	2-13-2018 12:48:15,	raspberrypi
88,	432964,	0.21,	0.21,	0.18,	1,	212,	2-13-2018 12:49:15,	raspberrypi
89,	433072,	0.23,	0.22,	0.18,	2,	212,	2-13-2018 12:50:15,	raspberrypi
90,	433088,	0.18,	0.20,	0.18,	2,	212,	2-13-2018 12:51:15,	raspberrypi
91,	432948,	0.22,	0.21,	0.18,	1,	213,	2-13-2018 12:52:15,	raspberrypi
92,	432956,	0.25,	0.22,	0.18,	1,	212,	2-13-2018 12:53:15,	raspberrypi
93,	432948,	0.20,	0.20,	0.18,	2,	213,	2-13-2018 12:54:15,	raspberrypi
94,	432568,	0.23,	0.21,	0.18,	1,	214,	2-13-2018 12:55:15,	raspberrypi
95,	431180,	0.31,	0.23,	0.19,	1,	215,	2-13-2018 12:56:15,	raspberrypi
96,	431064,	0.16,	0.20,	0.18,	2,	214,	2-13-2018 12:57:15,	raspberrypi
97,	431064,	0.21,	0.21,	0.18,	1,	214,	2-13-2018 12:58:15,	raspberrypi
98,	431064,	0.20,	0.20,	0.18,	1,	214,	2-13-2018 12:59:15,	raspberrypi
99,	431072,	0.18,	0.19,	0.18,	1,	213,	2-13-2018 13:00:15,	raspberrypi
100,	431080,	0.18,	0.19,	0.18,	2,	212,	2-13-2018 13:01:15,	raspberrypi
101,	430932,	0.24,	0.20,	0.18,	1,	213,	2-13-2018 13:02:15,	raspberrypi
102,	430808,	0.24,	0.21,	0.18,	1,	212,	2-13-2018 13:03:15,	raspberrypi
103,	430824,	0.20,	0.20,	0.18,	1,	213,	2-13-2018 13:04:15,	raspberrypi
104,	430380,	0.17,	0.19,	0.18,	2,	215,	2-13-2018 13:05:15,	raspberrypi
105,	430452,	0.17,	0.18,	0.18,	1,	213,	2-13-2018 13:06:15,	raspberrypi
106,	430460,	0.15,	0.18,	0.18,	2,	212,	2-13-2018 13:07:15,	raspberrypi
107,	430436,	0.15,	0.17,	0.18,	2,	213,	2-13-2018 13:08:15,	raspberrypi
108,	429948,	0.22,	0.19,	0.18,	1,	213,	2-13-2018 13:09:15,	raspberrypi
109,	430056,	0.14,	0.17,	0.18,	2,	213,	2-13-2018 13:10:15,	raspberrypi
110,	429916,	0.20,	0.18,	0.18,	1,	213,	2-13-2018 13:11:15,	raspberrypi
111,	430048,	0.21,	0.18,	0.18,	1,	214,	2-13-2018 13:12:15,	raspberrypi
112,	429940,	0.19,	0.17,	0.18,	2,	214,	2-13-2018 13:13:15,	raspberrypi
113,	430056,	0.23,	0.19,	0.18,	2,	214,	2-13-2018 13:14:15,	raspberrypi
114,	430040,	0.19,	0.18,	0.18,	1,	214,	2-13-2018 13:15:15,	raspberrypi
115,	429932,	0.44,	0.24,	0.20,	1,	214,	2-13-2018 13:16:15,	raspberrypi
116,	429808,	0.29,	0.24,	0.20,	1,	213,	2-13-2018 13:17:15,	raspberrypi
117,	429816,	0.24,	0.24,	0.20,	1,	212,	2-13-2018 13:18:15,	raspberrypi
118,	429932,	0.25,	0.24,	0.20,	1,	213,	2-13-2018 13:19:15,	raspberrypi
119,	429808,	0.19,	0.22,	0.19,	2,	213,	2-13-2018 13:20:15,	raspberrypi
120,	429808,	0.22,	0.23,	0.19,	1,	213,	2-13-2018 13:21:15,	raspberrypi
121,	429784,	0.25,	0.23,	0.19,	1,	213,	2-13-2018 13:22:15,	raspberrypi
122,	429808,	0.20,	0.22,	0.19,	1,	213,	2-13-2018 13:23:15,	raspberrypi
123,	429692,	0.23,	0.22,	0.19,	1,	212,	2-13-2018 13:24:15,	raspberrypi
124,	429652,	0.20,	0.21,	0.18,	1,	213,	2-13-2018 13:25:15,	raspberrypi
125,	429684,	0.23,	0.22,	0.18,	1,	213,	2-13-2018 13:26:15,	raspberrypi
126,	429560,	0.27,	0.22,	0.19,	2,	213,	2-13-2018 13:27:15,	raspberrypi
127,	429428,	0.21,	0.21,	0.18,	2,	213,	2-13-2018 13:28:15,	raspberrypi
128,	429552,	0.25,	0.22,	0.18,	2,	213,	2-13-2018 13:29:15,	raspberrypi
129,	429436,	0.19,	0.20,	0.18,	1,	212,	2-13-2018 13:30:15,	raspberrypi
130,	429312,	0.22,	0.21,	0.18,	1,	212,	2-13-2018 13:31:15,	raspberrypi
131,	429312,	0.18,	0.20,	0.18,	2,	212,	2-13-2018 13:32:15,	raspberrypi
132,	431436,	0.21,	0.21,	0.18,	1,	212,	2-13-2018 13:33:15,	raspberrypi
133,	682836,	0.25,	0.19,	0.12,	1,	207,	2-13-2018 16:10:25,	raspberrypi
134,	682588,	0.20,	0.18,	0.12,	2,	207,	2-13-2018 16:11:25,	raspberrypi
135,	682020,	0.17,	0.18,	0.12,	1,	208,	2-13-2018 16:12:25,	raspberrypi
136,	682696,	0.16,	0.17,	0.12,	2,	208,	2-13-2018 16:13:25,	raspberrypi
137,	682696,	0.21,	0.18,	0.13,	2,	208,	2-13-2018 16:14:25,	raspberrypi
138,	682448,	0.17,	0.18,	0.13,	1,	208,	2-13-2018 16:15:25,	raspberrypi
139,	682068,	0.20,	0.19,	0.13,	1,	208,	2-13-2018 16:16:25,	raspberrypi
140,	681672,	0.24,	0.20,	0.14,	1,	208,	2-13-2018 16:17:25,	raspberrypi
141,	681680,	0.14,	0.17,	0.13,	1,	207,	2-13-2018 16:18:25,	raspberrypi
142,	681788,	0.21,	0.19,	0.14,	2,	207,	2-13-2018 16:19:25,	raspberrypi
143,	681804,	0.14,	0.17,	0.13,	2,	207,	2-13-2018 16:20:25,	raspberrypi
144,	681804,	0.20,	0.18,	0.14,	1,	207,	2-13-2018 16:21:25,	raspberrypi
145,	681804,	0.21,	0.18,	0.14,	2,	207,	2-13-2018 16:22:25,	raspberrypi
146,	681936,	0.19,	0.18,	0.14,	1,	206,	2-13-2018 16:23:25,	raspberrypi
147,	681680,	0.19,	0.17,	0.14,	2,	207,	2-13-2018 16:24:25,	raspberrypi
148,	681788,	0.17,	0.17,	0.14,	2,	207,	2-13-2018 16:25:25,	raspberrypi
149,	681788,	0.17,	0.17,	0.14,	1,	207,	2-13-2018 16:26:25,	raspberrypi
150,	681804,	0.16,	0.17,	0.14,	2,	207,	2-13-2018 16:27:25,	raspberrypi
151,	681920,	0.16,	0.17,	0.14,	2,	207,	2-13-2018 16:28:25,	raspberrypi
152,	682044,	0.14,	0.16,	0.14,	1,	207,	2-13-2018 16:29:25,	raspberrypi
153,	681920,	0.15,	0.16,	0.14,	2,	207,	2-13-2018 16:30:25,	raspberrypi
154,	682044,	0.21,	0.18,	0.14,	1,	207,	2-13-2018 16:31:25,	raspberrypi
155,	681300,	0.24,	0.19,	0.15,	1,	207,	2-13-2018 16:32:25,	raspberrypi
156,	681424,	0.20,	0.18,	0.15,	1,	207,	2-13-2018 16:33:25,	raspberrypi
157,	681432,	0.23,	0.19,	0.16,	1,	206,	2-13-2018 16:34:25,	raspberrypi
158,	681120,	0.27,	0.20,	0.16,	2,	207,	2-13-2018 16:35:25,	raspberrypi
159,	681120,	0.21,	0.20,	0.16,	1,	207,	2-13-2018 16:36:25,	raspberrypi
160,	681144,	0.24,	0.21,	0.17,	1,	207,	2-13-2018 16:37:25,	raspberrypi
161,	681268,	0.19,	0.20,	0.17,	1,	207,	2-13-2018 16:38:25,	raspberrypi
162,	680772,	0.22,	0.21,	0.17,	1,	207,	2-13-2018 16:39:25,	raspberrypi
163,	680640,	0.18,	0.20,	0.17,	2,	207,	2-13-2018 16:40:25,	raspberrypi
164,	680764,	0.21,	0.20,	0.18,	2,	207,	2-13-2018 16:41:25,	raspberrypi
165,	680880,	0.24,	0.21,	0.18,	2,	207,	2-13-2018 16:42:25,	raspberrypi
166,	681004,	0.18,	0.20,	0.18,	1,	207,	2-13-2018 16:43:25,	raspberrypi
167,	681004,	0.22,	0.21,	0.18,	1,	207,	2-13-2018 16:44:25,	raspberrypi
168,	680872,	0.35,	0.24,	0.19,	1,	207,	2-13-2018 16:45:25,	raspberrypi
169,	680872,	0.24,	0.23,	0.19,	2,	207,	2-13-2018 16:46:25,	raspberrypi
170,	680748,	0.24,	0.23,	0.19,	2,	207,	2-13-2018 16:47:25,	raspberrypi
171,	680624,	0.27,	0.24,	0.19,	1,	207,	2-13-2018 16:48:25,	raspberrypi
172,	680624,	0.21,	0.22,	0.18,	1,	207,	2-13-2018 16:49:25,	raspberrypi
173,	680616,	0.25,	0.23,	0.18,	1,	206,	2-13-2018 16:50:25,	raspberrypi
174,	680740,	0.19,	0.21,	0.18,	1,	207,	2-13-2018 16:51:25,	raspberrypi
175,	680584,	0.22,	0.22,	0.18,	1,	207,	2-13-2018 16:52:25,	raspberrypi
176,	680484,	0.18,	0.21,	0.18,	1,	207,	2-13-2018 16:53:25,	raspberrypi
177,	680484,	0.21,	0.21,	0.18,	1,	207,	2-13-2018 16:54:25,	raspberrypi
178,	680344,	0.24,	0.22,	0.18,	2,	207,	2-13-2018 16:55:25,	raspberrypi
179,	680368,	0.19,	0.20,	0.18,	1,	206,	2-13-2018 16:56:25,	raspberrypi
180,	680360,	0.22,	0.21,	0.18,	1,	207,	2-13-2018 16:57:25,	raspberrypi
181,	680360,	0.26,	0.22,	0.19,	2,	206,	2-13-2018 16:58:25,	raspberrypi
182,	680236,	0.21,	0.21,	0.18,	1,	207,	2-13-2018 16:59:25,	raspberrypi
183,	680112,	0.19,	0.20,	0.18,	1,	207,	2-13-2018 17:00:25,	raspberrypi
184,	680112,	0.24,	0.21,	0.18,	1,	207,	2-13-2018 17:01:25,	raspberrypi
185,	679872,	0.21,	0.20,	0.18,	1,	206,	2-13-2018 17:02:25,	raspberrypi
186,	679988,	0.18,	0.20,	0.18,	1,	207,	2-13-2018 17:03:25,	raspberrypi
187,	679972,	0.18,	0.19,	0.18,	2,	207,	2-13-2018 17:04:25,	raspberrypi
188,	679972,	0.23,	0.20,	0.18,	1,	207,	2-13-2018 17:05:25,	raspberrypi
189,	679740,	0.19,	0.19,	0.18,	1,	207,	2-13-2018 17:06:25,	raspberrypi
190,	679716,	0.21,	0.20,	0.18,	2,	207,	2-13-2018 17:07:25,	raspberrypi
191,	679864,	0.17,	0.19,	0.18,	1,	206,	2-13-2018 17:08:25,	raspberrypi
